# touch_raw — no calibration, no bezel
# panel 800x480  drawn == panel coordinates
# hardware raw range (in use): X[0..4095] Y[0..4095]
# stored calibration (IGNORED): X[-35..4167] Y[-233..4335]
# stored bezel (IGNORED): T=15 B=15 L=0 R=0
# L ms raw_x raw_y panel_x panel_y pinmask
# T ms idx target_x target_y raw_x raw_y
# B ms edge raw_x raw_y
L 361368 312 340 60 39 0
L 361424 312 317 60 37 0
L 361452 301 317 58 37 0
L 361507 273 317 53 37 0
L 361535 247 329 48 38 0
L 361563 224 322 43 37 0
L 361621 191 318 37 37 0
L 361648 174 308 33 36 0
L 361704 156 303 30 35 0
L 361732 139 300 27 35 0
L 361787 120 299 23 34 0
L 361815 111 298 21 34 0
L 361897 88 268 17 31 0
L 362035 57 268 11 31 0
L 362064 79 268 15 31 0
L 362118 91 253 17 29 0
L 362172 0 292 0 34 1
L 362227 51 217 9 25 0
L 362310 69 191 13 22 0
L 362337 78 102 15 11 0
L 362393 77 129 15 15 0
L 362421 75 160 14 18 0
L 362477 74 175 14 20 0
L 362532 74 191 14 22 0
L 362586 83 163 16 19 0
L 362614 75 160 14 18 0
L 362671 70 159 13 18 0
L 362698 68 170 13 19 0
L 362753 67 87 13 10 0
L 362781 52 100 10 11 0
L 362836 72 115 14 13 0
L 362865 72 109 14 12 0
L 362892 71 95 13 11 0
L 362946 70 76 13 8 0
L 362974 36 67 7 7 0
L 363030 19 72 3 8 0
L 363058 32 75 6 8 0
L 363113 39 125 7 14 0
L 363141 43 126 8 14 0
L 363197 99 103 19 12 0
L 363225 91 82 17 9 0
L 363252 86 72 16 8 0
L 363306 72 67 14 7 0
L 363334 65 44 12 5 0
L 363390 61 33 11 3 0
L 363417 47 33 9 3 0
L 363473 40 34 7 3 0
L 363501 37 58 7 6 0
L 363557 35 31 6 3 0
L 363585 40 30 7 3 0
L 363613 36 30 7 3 0
L 363669 33 30 6 3 0
L 363697 31 16 6 1 0
L 363752 30 9 5 1 0
L 363780 20 15 3 1 0
L 363835 15 19 2 2 0
L 363863 12 21 2 2 0
L 363918 11 12 2 1 0
L 363946 10 7 1 0 0
L 363974 10 4 1 0 0
L 364029 10 10 1 1 0
L 364057 10 14 1 1 0
L 364112 10 9 1 1 0
L 364138 10 5 1 0 0
L 364194 10 11 1 1 0
L 364222 10 15 1 1 0
L 364277 10 27 1 3 0
L 364305 10 33 1 3 0
L 364333 10 58 1 6 0
L 364388 10 49 1 5 0
L 364416 10 55 1 6 0
L 364472 10 59 1 6 0
L 364498 10 83 1 9 0
L 364554 10 65 1 7 0
L 364582 10 71 1 8 0
L 364638 10 75 1 8 0
L 372224 0 0 0 0 5
L 372473 15 0 2 0 4
L 372502 9 0 1 0 4
L 372558 11 0 2 0 4
L 372586 13 0 2 0 4
L 372615 14 31 2 3 0
L 372671 14 17 2 1 0
L 372698 14 9 2 1 0
L 372754 9 5 1 0 0
L 372837 16 0 3 0 4
L 372865 59 0 11 0 4
L 372893 37 0 7 0 4
L 372949 25 0 4 0 4
L 372977 19 0 3 0 4
L 373033 16 0 3 0 4
L 373061 15 0 2 0 4
L 373117 14 0 2 0 4
L 373174 19 0 3 0 4
L 373230 23 0 4 0 4
L 373257 39 0 7 0 4
L 373314 37 0 7 0 4
L 373342 27 0 5 0 4
L 373397 22 0 4 0 4
L 373426 25 0 4 0 4
L 373454 14 0 2 0 4
L 373511 8 0 1 0 4
L 373538 12 0 2 0 4
L 373594 15 0 2 0 4
L 373624 17 0 3 0 4
L 373678 18 0 3 0 4
L 373707 36 0 7 0 4
L 373791 26 0 5 0 4
L 373818 20 0 3 0 4
L 373874 17 0 3 0 4
L 373903 15 0 2 0 4
L 373958 14 0 2 0 4
L 374098 0 0 0 0 5
L 374183 0 43 0 5 1
L 374266 0 0 0 0 5
L 374716 27 0 5 0 4
L 374744 15 0 2 0 4
L 374772 8 0 1 0 4
L 374827 5 0 0 0 4
L 374855 3 0 0 0 4
L 374911 2 0 0 0 4
L 375637 2 19 0 2 0
L 375665 9 11 1 1 0
L 375693 14 6 2 0 0
L 375749 16 4 3 0 0
L 375776 17 3 3 0 0
L 375832 18 2 3 0 0
L 375858 11 2 2 0 0
L 375914 6 2 1 0 0
L 375942 4 2 0 0 0
L 375997 3 2 0 0 0
L 376025 8 2 1 0 0
L 376053 6 2 1 0 0
L 376108 4 2 0 0 0
L 376136 3 2 0 0 0
L 376192 2 13 0 1 0
L 376218 2 8 0 0 0
L 376274 2 5 0 0 0
L 376302 2 3 0 0 0
L 376358 7 2 1 0 0
L 376386 11 2 2 0 0
L 376414 13 2 2 0 0
L 376469 14 2 2 0 0
L 376497 9 2 1 0 0
L 376553 5 2 0 0 0
L 376581 3 2 0 0 0
L 376638 2 2 0 0 0
L 378004 0 0 0 0 5
L 378168 12 0 2 0 4
L 378446 0 0 0 0 5
L 379341 0 8 0 0 1
L 380882 0 0 0 0 5
L 380966 19 0 3 0 4
L 381051 11 0 2 0 4
L 381078 6 0 1 0 4
L 381134 15 0 2 0 4
L 381162 21 0 4 0 4
L 381217 12 0 2 0 4
L 381246 7 0 1 0 4
L 381274 4 0 0 0 4
L 381330 8 0 1 0 4
L 381358 11 0 2 0 4
L 381414 13 0 2 0 4
L 381442 14 0 2 0 4
L 381724 34 0 6 0 4
L 381752 33 0 6 0 4
L 381808 37 0 7 0 4
L 381836 40 0 7 0 4
L 381892 41 0 7 0 4
L 381918 42 0 8 0 4
L 381975 52 0 10 0 4
L 382003 44 0 8 0 4
L 382086 40 0 7 0 4
L 382114 13 0 2 0 4
L 382171 35 0 6 0 4
L 382337 53 0 10 0 4
L 382366 46 0 8 0 4
L 382393 42 0 8 0 4
L 382474 39 0 7 0 4
L 382515 96 0 18 0 4
L 382566 54 0 10 0 4
L 382612 42 0 8 0 4
L 382661 36 0 7 0 4
L 382695 33 0 6 0 4
L 382726 17 0 3 0 4
L 382797 18 0 3 0 4
L 383081 8 0 1 0 4
L 383428 16 0 3 0 4
L 383506 12 0 2 0 4
L 383595 29 0 5 0 4
L 383737 63 0 12 0 4
L 383764 51 0 9 0 4
L 383821 32 0 6 0 4
L 383848 31 0 6 0 4
L 383932 0 0 0 0 5
L 384016 31 0 6 0 4
L 384185 43 0 8 0 4
L 384213 49 0 9 0 4
L 384268 52 0 10 0 4
L 384296 48 0 9 0 4
L 384324 76 0 14 0 4
L 384381 70 0 13 0 4
L 384408 66 0 12 0 4
L 384464 64 0 12 0 4
L 384492 63 0 12 0 4
L 384548 62 0 12 0 4
L 384576 81 0 15 0 4
L 384604 72 0 14 0 4
L 384661 55 0 10 0 4
L 384688 46 0 8 0 4
L 384744 42 0 8 0 4
L 384773 40 0 7 0 4
L 384828 39 0 7 0 4
L 384857 38 0 7 0 4
L 384941 38 55 7 6 0
L 384968 51 29 9 3 0
L 385023 45 15 8 1 0
